rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
125,frame_0285.jpg,114.0,0.3376,0.3352,0.1667,0.6,4,1,False,False
126,frame_0082.jpg,32.8,0.3349,0.2978,0.1667,0.68,2,1,False,False
127,frame_0315.jpg,126.0,0.3337,0.3194,0.5,0.12,5,3,False,False
128,frame_0310.jpg,124.0,0.3332,0.4344,0.3333,0.08,3,2,False,False
129,frame_0207.jpg,82.8,0.3328,0.2455,0.1667,0.8,3,1,False,False
130,frame_0301.jpg,120.4,0.3324,0.2888,0.3333,0.44,5,2,False,False
131,frame_0214.jpg,85.6,0.3322,0.3563,0.1667,0.52,2,1,False,False
132,frame_0089.jpg,35.6,0.3318,0.3036,0.3333,0.4,6,2,False,False
133,frame_0232.jpg,92.8,0.3267,0.3734,0.3333,0.2,3,2,False,False
134,frame_0216.jpg,86.4,0.326,0.376,0.1667,0.44,4,1,False,False
135,frame_0390.jpg,156.0,0.326,0.3199,0.5,0.08,6,3,False,False
136,frame_0319.jpg,127.6,0.3253,0.3386,0.3333,0.28,6,2,False,False
137,frame_0100.jpg,40.0,0.3221,0.3282,0.5,0.04,5,3,False,False
138,frame_0283.jpg,113.2,0.3214,0.3347,0.1667,0.52,3,1,False,False
139,frame_0370.jpg,148.0,0.3209,0.3258,0.5,0.04,6,3,False,False
140,frame_0293.jpg,117.2,0.3189,0.2338,0.1667,0.76,4,1,False,False
141,frame_0009.jpg,3.6,0.3188,0.2376,0.0,1.0,2,0,False,False
142,frame_0028.jpg,11.2,0.3173,0.2345,0.0,1.0,3,0,False,False
143,frame_0167.jpg,66.8,0.3172,0.2943,0.1667,0.6,3,1,False,False
144,frame_0217.jpg,86.8,0.317,0.3739,0.1667,0.4,2,1,False,False
145,frame_0279.jpg,111.6,0.3165,0.289,0.3333,0.36,5,2,False,False
146,frame_0316.jpg,126.4,0.3163,0.2685,0.5,0.16,6,3,False,False
147,frame_0178.jpg,71.2,0.3121,0.3603,0.3333,0.16,7,2,False,False
148,frame_0304.jpg,121.6,0.3092,0.2904,0.3333,0.32,5,2,False,False
149,frame_0012.jpg,4.8,0.3042,0.2084,0.0,1.0,1,0,False,False
150,frame_0027.jpg,10.8,0.3037,0.2073,0.0,1.0,2,0,False,False
151,frame_0023.jpg,9.2,0.3031,0.2062,0.0,1.0,1,0,False,False
152,frame_0108.jpg,43.2,0.3026,0.3893,0.3333,0.04,5,2,False,False
153,frame_0030.jpg,12.0,0.3017,0.2034,0.0,1.0,4,0,False,False
